trip_id,trip_property_id,value
71995071,note,Waits at Wellington for last Orange Line train
71995071,trip_type,wait
71996475,note,Does not run during school vacation
71996475,trip_type,supplemental
71996498,note,Does not run during school vacation
71996498,trip_type,supplemental
71996557,note,Does not run during school vacation
71996557,trip_type,supplemental
71996558,note,Does not run during school vacation
71996558,trip_type,supplemental
71996574,note,Does not run during school vacation
71996574,trip_type,supplemental
71996613,note,Does not run during school vacation
71996613,trip_type,supplemental
71996847,note,Does not run during school vacation
71996847,trip_type,supplemental
71996930,note,Does not run during school vacation
71996930,trip_type,supplemental
71996931,note,Does not run during school vacation
71996931,trip_type,supplemental
71996932,note,Does not run during school vacation
71996932,trip_type,supplemental
71996933,note,Does not run during school vacation
71996933,trip_type,supplemental
71997423,note,Does not run during school vacation
71997423,trip_type,supplemental
71997424,note,Does not run during school vacation
71997424,trip_type,supplemental
71997426,note,Does not run during school vacation
71997426,trip_type,supplemental
71997427,note,Does not run during school vacation
71997427,trip_type,supplemental
71997428,note,Does not run during school vacation
71997428,trip_type,supplemental
71997429,note,Does not run during school vacation
71997429,trip_type,supplemental
71997441,note,Does not run during school vacation
71997441,trip_type,supplemental
71997442,note,Does not run during school vacation
71997442,trip_type,supplemental
71997443,note,Does not run during school vacation
71997443,trip_type,supplemental
71997444,note,Does not run during school vacation
71997444,trip_type,supplemental
71997670,note,Does not run during school vacation
71997670,trip_type,supplemental
71997701,note,Does not run during school vacation
71997701,trip_type,supplemental
71999761,note,Does not run during school vacation
71999761,trip_type,supplemental
71999903,note,Waits at Wellington for last Orange Line train
71999903,trip_type,wait
72000022,note,Waits at Wellington for last Orange Line train
72000022,trip_type,wait
72000549,note,Waits at Sullivan Square for last Orange Line train
72000549,trip_type,wait
72000569,note,Does not run during school vacation
72000569,trip_type,supplemental
72000583,note,Does not run during school vacation
72000583,trip_type,supplemental
72000596,note,Does not run during school vacation
72000596,trip_type,supplemental
72000611,note,Waits at Wellington for last Orange Line train
72000611,trip_type,wait
72000707,note,Waits at Harvard for last Red Line train
72000707,trip_type,wait
72000724,note,Does not run during school vacation
72000724,trip_type,supplemental
72000958,note,Waits at Malden Center for last Orange Line train
72000958,trip_type,wait
72001040,note,Waits at Sullivan Square for last Orange Line train
72001040,trip_type,wait
72001210,note,Waits at Airport for last Blue Line train
72001210,trip_type,wait
72001222,note,Waits at Malden Center for last Orange Line train
72001222,trip_type,wait
72001413,note,Waits at Wellington for last Orange Line train
72001413,trip_type,wait
72013641,note,Does not run during school vacation
72013641,trip_type,supplemental
72013708,note,Waits at Ruggles for last Orange Line train
72013708,trip_type,wait
72013751,note,Waits at Mattapan for last Mattapan Trolley train
72013751,trip_type,wait
72013779,note,Does not run during school vacation
72013779,trip_type,supplemental
72013803,note,Waits at South Station for last Red Line train
